Country,Region,Rank_2015,Score_2015,GDP_2015,Family_2015,Health_2015,Freedom_2015,Corruption_2015,Generosity_2015,Dystopia_2015,Rank_2019,Score_2019,GDP_2019,Social_2019,Health_2019,Freedom_2019,Corruption_2019,Generosity_2019,Score_Diff,GDP_Diff,Rank_Diff
Russia,Central and Eastern Europe,64,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,68,5.648,1.183,1.452,0.726,0.334,0.031,0.082,-0.0680000000000005,0.04536000000000007,-4
Jamaica,Latin America and Caribbean,65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2.32038,56,5.89,0.831,1.478,0.831,0.49,0.028,0.107,0.18100000000000005,0.02061999999999997,9
Cyprus,Western Europe,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,49,6.046,1.263,1.223,1.042,0.406,0.041,0.19,0.3570000000000002,0.054869999999999974,18
Algeria,Middle East and Northern Africa,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,88,5.211,1.002,1.16,0.785,0.086,0.114,0.073,-0.39400000000000013,0.06271000000000004,-20
Kosovo,Central and Eastern Europe,69,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.76579,46,6.1,0.882,1.232,0.758,0.489,0.006,0.262,0.5109999999999992,0.08052000000000004,23
Turkmenistan,Central and Eastern Europe,70,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,87,5.247,1.052,1.538,0.657,0.394,0.028,0.244,-0.30100000000000016,0.09353,-17
Mauritius,Sub-Saharan Africa,71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,57,5.888,1.12,1.402,0.798,0.498,0.06,0.215,0.4109999999999996,0.11239000000000021,14
Hong Kong,Eastern Asia,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.65429,76,5.43,1.438,1.277,1.122,0.44,0.287,0.258,-0.04400000000000048,0.051960000000000006,-4
Estonia,Central and Eastern Europe,73,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,55,5.893,1.237,1.528,0.874,0.495,0.161,0.103,0.4639999999999995,0.08526000000000011,18
Indonesia,Southeastern Asia,74,5.399,0.82827,1.08708,0.63793,0.46611,0.0,0.51535,1.86399,92,5.192,0.931,1.203,0.66,0.491,0.028,0.498,-0.20699999999999985,0.1027300000000001,-18
Vietnam,Southeastern Asia,75,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2.20173,94,5.175,0.741,1.346,0.851,0.543,0.073,0.147,-0.1850000000000005,0.10883999999999994,-19
Turkey,Middle East and Northern Africa,76,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,79,5.373,1.183,1.36,0.808,0.195,0.106,0.083,0.04100000000000037,0.12202000000000002,-3
Kyrgyzstan,Central and Eastern Europe,77,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2.2327,86,5.261,0.551,1.438,0.723,0.508,0.023,0.3,-0.024999999999999467,0.07672000000000007,-9
Nigeria,Sub-Saharan Africa,78,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2.89319,85,5.265,0.696,1.111,0.245,0.426,0.041,0.215,-0.0030000000000001137,0.041649999999999965,-7
Bhutan,Southern Asia,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794,95,5.082,0.813,1.321,0.604,0.457,0.167,0.37,-0.17100000000000026,0.04257999999999995,-16
Azerbaijan,Central and Eastern Europe,80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,90,5.208,1.043,1.147,0.769,0.351,0.182,0.035,-0.0039999999999995595,0.01910999999999996,-10
Pakistan,Southern Asia,81,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,3.10709,67,5.653,0.677,0.886,0.535,0.313,0.098,0.22,0.45899999999999963,0.08157000000000003,14
Jordan,Middle East and Northern Africa,82,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,1.87996,101,4.906,0.837,1.225,0.815,0.383,0.13,0.11,-0.2860000000000005,-0.06498000000000004,-19
Montenegro,Central and Eastern Europe,82,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2.10017,73,5.523,1.051,1.361,0.871,0.197,0.08,0.142,0.3309999999999995,0.07661999999999991,9
China,Eastern Asia,84,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.8604,93,5.191,1.029,1.125,0.893,0.521,0.1,0.058,0.051000000000000156,0.1388799999999999,-9
Zambia,Sub-Saharan Africa,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,138,4.107,0.578,1.058,0.426,0.431,0.087,0.247,-1.0219999999999994,0.10761999999999994,-53
Romania,Central and Eastern Europe,86,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,1.93129,48,6.07,1.162,1.232,0.825,0.462,0.005,0.083,0.9460000000000006,0.11854999999999993,38
Serbia,Central and Eastern Europe,87,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,2.025,70,5.603,1.004,1.383,0.854,0.282,0.039,0.137,0.47999999999999954,0.08347000000000004,17
Portugal,Western Europe,88,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,1.26462,66,5.693,1.221,1.431,0.999,0.508,0.025,0.047,0.5909999999999993,0.06109000000000009,22
Latvia,Central and Eastern Europe,89,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,1.62215,53,5.94,1.187,1.465,0.812,0.264,0.064,0.075,0.8420000000000005,0.07387999999999995,36
Philippines,Southeastern Asia,90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,1.7536,69,5.631,0.807,1.293,0.657,0.558,0.107,0.117,0.5579999999999998,0.1016800000000001,21
